customer_id,age,gender,location,income_level,education_level,platform,likes_received,comments_posted,shares,time_spent_per_week,click_through_rate,average_order_value,frequency_of_purchases,discounts_used,cart_abandonment_rate,search_trends_index,seasonal_effect,competitor_offers,sentiment_score,customer_support_queries,response_time,campaign_id,marketing_channel,ad_spent,conversion_rate,ROI,customer_response
CUST_1,33,Male,Canada,Medium,Master's,Twitter,216,23,129,42.26,44.91,371.88,17,1,95.73,69.58,Summer,0,-0.29,8,43,CAMPAIGN_8,Email,835.02,49.16,39.29,0
CUST_2,25,Male,India,High,Master's,Instagram,888,50,274,16.15,28.42,374.04,1,0,45.19,87.35,Summer,1,0.69,15,61,CAMPAIGN_2,TV Ads,4568.49,11.38,37.59,0
CUST_3,44,Female,India,Medium,PhD,Instagram,889,314,254,29.01,43.71,328.27,27,0,67.72,84.49,Winter,0,0.79,2,28,CAMPAIGN_11,Social Media,1060.25,46.56,41.92,0
CUST_4,55,Female,Germany,High,PhD,Twitter,891,390,271,28.51,80.46,91.76,21,1,74.12,35.17,Summer,1,-0.55,8,50,CAMPAIGN_1,Social Media,2899.24,84.78,62.27,0
CUST_5,48,Female,Canada,Low,Master's,Instagram,266,420,16,8.8,0.6,117.42,18,0,58.83,13.76,Winter,0,0.5,18,96,CAMPAIGN_6,Social Media,1490.86,44.64,189.3,0
CUST_6,41,Female,Canada,Medium,PhD,Twitter,545,213,211,26.78,32.84,374.44,8,1,29.58,31.93,Summer,1,0.25,16,68,CAMPAIGN_12,TV Ads,1778.46,5.51,4.38,0
CUST_7,58,Female,USA,Low,High School,Twitter,203,317,35,14.8,46.16,492.41,19,1,5.26,29.94,Holiday,1,-0.91,8,21,CAMPAIGN_15,Google Ads,9887.28,63.46,-46.14,0
CUST_8,46,Female,UK,High,Bachelor's,LinkedIn,740,483,236,33.43,59.11,41.2,10,0,24.36,39.64,Winter,1,0.66,9,2,CAMPAIGN_2,Google Ads,3208.83,86.68,-30.68,1
CUST_9,39,Female,USA,Medium,High School,Instagram,276,121,94,7.55,2.76,182.1,12,1,85.04,21.24,Winter,1,0.09,18,20,CAMPAIGN_8,Social Media,6210.49,73.23,19.7,0
CUST_10,45,Other,Canada,High,High School,Twitter,828,274,22,10.74,80.45,346.82,28,1,54.36,84.03,Holiday,1,0.15,12,22,CAMPAIGN_3,TV Ads,4196.83,91.4,7.19,1
CUST_11,35,Female,Canada,Medium,PhD,Twitter,81,45,42,7.51,77.31,154.85,15,0,20.36,92.13,Holiday,0,0.2,2,115,CAMPAIGN_17,TV Ads,8758.45,2.59,-48.59,0
CUST_12,53,Male,India,Medium,Master's,LinkedIn,387,317,218,11.25,77.84,89.95,8,1,50.43,39.79,None,1,0.28,16,55,CAMPAIGN_2,Email,2543.37,62.3,7.85,1
CUST_13,55,Female,Canada,Low,Master's,Facebook,299,238,208,48.31,58.07,403.3,10,1,46.28,9.35,Winter,0,-0.5,2,56,CAMPAIGN_6,Social Media,9449.25,27.73,41.62,0
CUST_14,27,Male,Germany,Low,PhD,LinkedIn,238,460,84,26.32,89.8,164.44,28,1,67.26,6.11,Summer,0,0.17,0,28,CAMPAIGN_11,Google Ads,309.23,45.45,162.24,1
CUST_15,32,Female,USA,Medium,High School,LinkedIn,166,449,64,20.15,14.33,249.26,10,0,77.53,22.51,None,1,-0.84,18,62,CAMPAIGN_13,TV Ads,8024.54,29.67,45.69,0
CUST_16,54,Other,India,Low,High School,Instagram,487,72,206,46.5,92.07,274.03,17,1,64.11,17.89,Summer,0,0.75,5,52,CAMPAIGN_8,Email,8196.04,80.64,145.56,1
CUST_17,57,Male,UK,Medium,Bachelor's,Twitter,85,76,194,34.88,37.49,157.87,9,1,56.0,97.21,None,0,-0.35,16,7,CAMPAIGN_6,TV Ads,2743.94,77.48,194.99,0
CUST_18,57,Other,USA,High,Bachelor's,Twitter,548,484,197,16.8,60.35,225.7,2,0,6.3,17.31,Summer,1,0.51,7,38,CAMPAIGN_17,TV Ads,9940.57,26.09,54.04,1
CUST_19,24,Female,USA,High,Bachelor's,Facebook,160,412,298,6.84,89.79,382.5,16,0,77.02,48.39,None,0,-0.36,10,12,CAMPAIGN_9,Google Ads,7272.38,94.04,105.38,0
CUST_20,38,Other,UK,Low,High School,Facebook,720,220,269,29.58,18.87,210.59,6,1,47.76,7.09,Holiday,1,0.1,18,19,CAMPAIGN_4,TV Ads,8825.65,45.23,61.45,0
CUST_21,40,Male,India,Low,High School,LinkedIn,182,449,159,40.8,88.03,420.15,2,0,85.92,14.25,Summer,1,0.93,5,117,CAMPAIGN_12,TV Ads,9876.87,40.32,73.07,1
CUST_22,36,Female,UK,High,Bachelor's,Facebook,214,262,258,20.5,28.25,486.3,11,0,19.39,92.37,None,1,0.73,13,107,CAMPAIGN_14,Social Media,9286.87,89.74,148.84,0
